mcs_index,mod_order,target_code_rate,se
0,2,120,0.2344
1,2,193,0.377
2,2,308,0.6016
3,2,449,0.877
4,2,602,1.1758
5,4,378,1.4766
6,4,434,1.6953
7,4,490,1.9141
8,4,553,2.1602
9,4,616,2.4063
10,4,658,2.5703
11,6,466,2.7305
12,6,517,3.0293
13,6,567,3.3223
14,6,616,3.6094
15,6,666,3.9023
16,6,719,4.2129
17,6,772,4.5234
18,6,822,4.8164
19,6,873,5.1152
20,8,682.5,5.332
21,8,711,5.5547
22,8,754,5.8906
23,8,797,6.2266
24,8,841,6.5703
25,8,885,6.9141
26,8,916.5,7.1602
27,8,948,7.4063
28,2,reserved,0
29,4,reserved,0
30,6,reserved,0
31,8,reserved,0
