mcs_index,mod_order,target_code_rate,se
0,2,30,0.0586
1,2,40,0.0781
2,2,50,0.0977
3,2,64,0.125
4,2,78,0.1523
5,2,99,0.1934
6,2,120, 0.2344
7,2,157, 0.3066
8,2,193, 0.3770
9,2,251, 0.4902
10,2,308, 0.6016
11,2,379, 0.7402
12,2,449, 0.8770
13,2,526, 1.0273
14,2,602, 1.1758
15,4,340, 1.3281
16,4,378,1.4766
17,4,434, 1.6953
18,4,490, 1.9141
19,4,553, 2.1602
20,4,616, 2.4063
21,6,438, 2.5664
22,6,466, 2.7305
23,6,517, 3.0293
24,6,567, 3.3223
25,6,616, 3.6094
26,6,666, 3.9023
27,6,719, 4.2129
28,6,772, 4.5234
29,2,reserved,0
30,4,reserved,0
31,6,reserved,0
